v = 13
a = 5
(b1, b2) = (15, 5)
c = 134
(d1, d2) = (27, 36)
(e1, e2) = (11, 5)
(f1, f2) = (34, 38)
(g1, g2) = (46, 0)
(h1, h2) = (0, 32)
(i1, i2) = (4, 21)
l = 3


Vertici 47
0 1 6
0 2 6
0 3 3
0 4 5
0 5 8
0 6 4
0 7 8
0 8 6
0 9 4
0 10 7
0 11 7
0 12 6
0 13 7
0 14 4
0 15 8
0 16 8
0 17 8
0 18 8
0 19 7
0 20 8
0 21 7
0 22 7
0 23 8
0 24 6
0 25 9
0 26 8
0 27 7
0 28 6
0 29 6
0 30 5
0 31 3
0 32 3
0 33 10
0 34 6
0 35 5
0 36 4
0 37 6
0 38 4
0 39 7
0 40 7
0 41 5
0 42 6
0 43 5
0 44 8
0 45 6
0 46 2
1 2 7
1 3 6
1 4 6
1 5 9
1 6 6
1 7 6
1 8 7
1 9 7
1 10 7
1 11 6
1 12 4
1 13 7
1 14 5
1 15 5
1 16 6
1 17 8
1 18 8
1 19 9
1 20 8
1 21 8
1 22 7
1 23 2
1 24 7
1 25 6
1 26 7
1 27 6
1 28 3
1 29 7
1 30 7
1 31 3
1 32 9
1 33 9
1 34 8
1 35 7
1 36 9
1 37 6
1 38 6
1 39 5
1 40 6
1 41 6
1 42 6
1 43 7
1 44 5
1 45 4
1 46 8
2 3 3
2 4 7
2 5 5
2 6 4
2 7 4
2 8 6
2 9 4
2 10 6
2 11 8
2 12 7
2 13 5
2 14 2
2 15 6
2 16 5
2 17 4
2 18 7
2 19 4
2 20 8
2 21 7
2 22 5
2 23 8
2 24 6
2 25 8
2 26 10
2 27 7
2 28 4
2 29 7
2 30 8
2 31 8
2 32 8
2 33 8
2 34 6
2 35 4
2 36 7
2 37 2
2 38 7
2 39 4
2 40 3
2 41 2
2 42 7
2 43 2
2 44 6
2 45 6
2 46 5
3 4 6
3 5 5
3 6 5
3 7 6
3 8 3
3 9 5
3 10 4
3 11 8
3 12 9
3 13 7
3 14 5
3 15 5
3 16 8
3 17 7
3 18 5
3 19 7
3 20 11
3 21 8
3 22 8
3 23 8
3 24 7
3 25 6
3 26 9
3 27 7
3 28 3
3 29 8
3 30 7
3 31 6
3 32 6
3 33 7
3 34 3
3 35 7
3 36 7
3 37 5
3 38 7
3 39 5
3 40 6
3 41 5
3 42 5
3 43 5
3 44 5
3 45 7
3 46 5
4 5 9
4 6 6
4 7 6
4 8 7
4 9 6
4 10 7
4 11 7
4 12 8
4 13 4
4 14 5
4 15 5
4 16 6
4 17 8
4 18 7
4 19 4
4 20 7
4 21 2
4 22 2
4 23 7
4 24 7
4 25 4
4 26 3
4 27 7
4 28 3
4 29 8
4 30 7
4 31 8
4 32 8
4 33 7
4 34 7
4 35 6
4 36 7
4 37 6
4 38 9
4 39 5
4 40 4
4 41 6
4 42 9
4 43 6
4 44 5
4 45 5
4 46 7
5 6 5
5 7 5
5 8 7
5 9 4
5 10 8
5 11 7
5 12 6
5 13 8
5 14 7
5 15 8
5 16 4
5 17 5
5 18 9
5 19 6
5 20 9
5 21 9
5 22 8
5 23 9
5 24 6
5 25 9
5 26 12
5 27 9
5 28 6
5 29 7
5 30 8
5 31 7
5 32 9
5 33 8
5 34 2
5 35 7
5 36 8
5 37 3
5 38 9
5 39 8
5 40 6
5 41 5
5 42 4
5 43 7
5 44 8
5 45 7
5 46 6
6 7 4
6 8 2
6 9 4
6 10 5
6 11 4
6 12 6
6 13 7
6 14 5
6 15 4
6 16 8
6 17 4
6 18 4
6 19 4
6 20 8
6 21 7
6 22 5
6 23 4
6 24 6
6 25 7
6 26 8
6 27 4
6 28 3
6 29 5
6 30 5
6 31 7
6 32 4
6 33 6
6 34 6
6 35 4
6 36 4
6 37 2
6 38 7
6 39 3
6 40 7
6 41 5
6 42 7
6 43 5
6 44 5
6 45 2
6 46 2
7 8 6
7 9 7
7 10 7
7 11 8
7 12 10
7 13 7
7 14 5
7 15 5
7 16 9
7 17 4
7 18 8
7 19 8
7 20 6
7 21 8
7 22 8
7 23 4
7 24 6
7 25 8
7 26 9
7 27 8
7 28 3
7 29 3
7 30 7
7 31 8
7 32 8
7 33 10
7 34 7
7 35 7
7 36 7
7 37 2
7 38 11
7 39 5
7 40 7
7 41 5
7 42 6
7 43 6
7 44 5
7 45 6
7 46 6
8 9 5
8 10 7
8 11 6
8 12 8
8 13 8
8 14 6
8 15 2
8 16 8
8 17 6
8 18 2
8 19 6
8 20 9
8 21 9
8 22 7
8 23 6
8 24 4
8 25 9
8 26 6
8 27 4
8 28 4
8 29 7
8 30 4
8 31 6
8 32 6
8 33 4
8 34 6
8 35 4
8 36 6
8 37 4
8 38 9
8 39 5
8 40 7
8 41 6
8 42 7
8 43 7
8 44 6
8 45 4
8 46 4
9 10 8
9 11 7
9 12 6
9 13 6
9 14 6
9 15 4
9 16 4
9 17 7
9 18 7
9 19 6
9 20 9
9 21 8
9 22 4
9 23 7
9 24 2
9 25 10
9 26 9
9 27 7
9 28 6
9 29 6
9 30 5
9 31 4
9 32 5
9 33 9
9 34 2
9 35 4
9 36 8
9 37 5
9 38 7
9 39 6
9 40 4
9 41 2
9 42 4
9 43 5
9 44 8
9 45 5
9 46 2
10 11 7
10 12 9
10 13 8
10 14 6
10 15 6
10 16 9
10 17 3
10 18 9
10 19 6
10 20 9
10 21 8
10 22 8
10 23 9
10 24 8
10 25 6
10 26 10
10 27 8
10 28 4
10 29 6
10 30 8
10 31 7
10 32 7
10 33 10
10 34 7
10 35 8
10 36 7
10 37 5
10 38 10
10 39 2
10 40 9
10 41 8
10 42 9
10 43 4
10 44 6
10 45 7
10 46 7
11 12 2
11 13 7
11 14 9
11 15 8
11 16 4
11 17 8
11 18 7
11 19 8
11 20 11
11 21 5
11 22 7
11 23 8
11 24 9
11 25 7
11 26 10
11 27 6
11 28 7
11 29 9
11 30 8
11 31 6
11 32 8
11 33 7
11 34 5
11 35 8
11 36 8
11 37 6
11 38 3
11 39 5
11 40 6
11 41 8
11 42 7
11 43 7
11 44 9
11 45 6
11 46 6
12 13 6
12 14 9
12 15 9
12 16 2
12 17 8
12 18 9
12 19 6
12 20 11
12 21 7
12 22 8
12 23 6
12 24 7
12 25 9
12 26 11
12 27 4
12 28 7
12 29 8
12 30 6
12 31 7
12 32 9
12 33 5
12 34 7
12 35 7
12 36 7
12 37 8
12 38 5
12 39 7
12 40 4
12 41 6
12 42 9
12 43 7
12 44 7
12 45 6
12 46 4
13 14 4
13 15 6
13 16 4
13 17 8
13 18 9
13 19 5
13 20 11
13 21 2
13 22 6
13 23 9
13 24 5
13 25 4
13 26 7
13 27 6
13 28 4
13 29 7
13 30 8
13 31 9
13 32 8
13 33 9
13 34 8
13 35 6
13 36 3
13 37 7
13 38 9
13 39 6
13 40 2
13 41 4
13 42 7
13 43 6
13 44 2
13 45 8
13 46 7
14 15 4
14 16 7
14 17 6
14 18 8
14 19 5
14 20 8
14 21 6
14 22 3
14 23 7
14 24 6
14 25 8
14 26 8
14 27 5
14 28 2
14 29 8
14 30 6
14 31 7
14 32 7
14 33 10
14 34 7
14 35 2
14 36 7
14 37 4
14 38 8
14 39 4
14 40 5
14 41 4
14 42 5
14 43 4
14 44 4
14 45 6
14 46 5
15 16 7
15 17 7
15 18 4
15 19 8
15 20 11
15 21 7
15 22 7
15 23 7
15 24 2
15 25 8
15 26 8
15 27 6
15 28 2
15 29 5
15 30 6
15 31 7
15 32 8
15 33 6
15 34 6
15 35 6
15 36 8
15 37 5
15 38 10
15 39 4
15 40 5
15 41 6
15 42 8
15 43 6
15 44 4
15 45 6
15 46 6
16 17 6
16 18 9
16 19 4
16 20 9
16 21 6
16 22 6
16 23 8
16 24 5
16 25 8
16 26 9
16 27 5
16 28 8
16 29 7
16 30 4
16 31 8
16 32 9
16 33 7
16 34 6
16 35 6
16 36 7
16 37 7
16 38 5
16 39 8
16 40 2
16 41 4
16 42 7
16 43 6
16 44 6
16 45 7
16 46 6
17 18 7
17 19 8
17 20 8
17 21 6
17 22 9
17 23 8
17 24 9
17 25 4
17 26 11
17 27 8
17 28 5
17 29 7
17 30 5
17 31 10
17 32 8
17 33 10
17 34 7
17 35 7
17 36 7
17 37 2
17 38 11
17 39 5
17 40 7
17 41 5
17 42 9
17 43 6
17 44 7
17 45 6
17 46 6
18 19 7
18 20 10
18 21 9
18 22 9
18 23 7
18 24 6
18 25 11
18 26 4
18 27 6
18 28 6
18 29 9
18 30 6
18 31 5
18 32 8
18 33 6
18 34 8
18 35 6
18 36 8
18 37 6
18 38 8
18 39 7
18 40 7
18 41 6
18 42 6
18 43 5
18 44 8
18 45 6
18 46 6
19 20 7
19 21 3
19 22 2
19 23 7
19 24 8
19 25 5
19 26 7
19 27 6
19 28 6
19 29 7
19 30 8
19 31 9
19 32 8
19 33 5
19 34 8
19 35 7
19 36 3
19 37 6
19 38 9
19 39 4
19 40 6
19 41 6
19 42 10
19 43 2
19 44 6
19 45 5
19 46 5
20 21 9
20 22 5
20 23 8
20 24 9
